id;position;name;club_id
62;G;Anthony Lopes;2
63;G;Lucas Mocio;2
64;G;Mathieu Gorgelin;2
65;D;Henri Bedimo;2
66;D;Bakary Koné;2
67;D;Milan Bisevac;2
68;D;Christophe Jallet;2
69;D;Jérémy Morel;2
70;D;Rafael;2
71;D;Lindsay Rose;2
72;D;Samuel Umtiti;2
73;D;Mouctar Diakhaby;2
74;D;Romaric N'Gouma;2
75;D;Mapou Yanga-Mbiwa;2
76;M;Gueida Fofana;2
77;M;Clément Grenier;2
78;M;Corentin Tolisso;2
79;M;Rachid Ghezzal;2
80;M;Jordan Ferri;2
81;M;Mathieu Valbuena;2
82;M;Steed Malbranque;2
83;M;Nabil Fekir;2
84;M;Maxime Gonalons;2
85;M;Arnold Mvuemba;2
86;M;Zakarie Labidi;2
87;A;Claudio Beauvue;2
88;A;Alexandre Lacazette;2
89;A;Yassine Benzia;2
90;A;Maxwel Cornet;2
91;A;Aldo Kalulu;2
