id;position;name;club_id
1;G;Nicolas Douchez;1
2;G;Kevin Trapp;1
3;G;Salvatore Sirigu;1
4;G;Mike Maignan;1
5;D;Thiago Silva;1
6;D;Presnel Kimpembe;1
7;D;Marquinhos;1
8;D;Maxwell;1
9;D;Serge Aurier;1
10;D;Lucas Digne;1
11;D;Gregory van der Wiel;1
12;D;Youssouf Sabaly;1
13;D;David Luiz;1
14;M;Benjamin Stambouli;1
15;M;Marco Verratti;1
16;M;Thiago Motta;1
17;M;Angel Di Maria;1
18;M;Blaise Matuidi;1
19;M;Adrien Rabiot;1
20;M;Javier Pastore;1
21;A;Lucas;1
22;A;Edinson Cavani;1
23;A;Zlatan Ibrahimovic;1
24;A;Ezequiel Lavezzi;1
25;A;Jean-Kévin Augustin;1
26;A;Hervin Ongenda;1
